boundary_id,node_id,node_label,road_id,side
1,0.07948881@2802005:upstream:2240,B01u,1011,upstream
2,1220150:terminal_upstream:646,J351u,646,upstream
3,1220491:terminal_upstream:1263,J528u,1263,upstream
4,1220544:terminal_upstream:237,J620u,237,upstream
5,1221170:terminal_upstream:1120,J35u,1120,upstream
6,1238685:terminal_upstream:970,J42u,970,upstream
7,1238834:terminal_upstream:939,J150u,939,upstream
8,1238835:terminal_upstream:295,J503u,295,upstream
9,1238888:terminal_upstream:670,J340u,670,upstream
10,1238939:terminal_upstream:817,J222u,817,upstream
11,1239232:terminal_upstream:937,J63u,937,upstream
12,1239370:terminal_upstream:875,J198u,875,upstream
13,1239591:terminal_upstream:392,J464u,392,upstream
14,1240846:terminal_upstream:57,J685u,57,upstream
15,1240849:terminal_upstream:222,J576u,222,upstream
16,1241078:terminal_upstream:480,J490u,480,upstream
17,1241091:terminal_upstream:488,J481u,488,upstream
18,1400333:terminal_upstream:838,J240u,838,upstream
19,1401536:terminal_upstream:773,J255u,773,upstream
20,1401543:terminal_upstream:542,J427u,542,upstream
21,1402059:terminal_upstream:389,J469u,389,upstream
22,1403399:terminal_upstream:583,J415u,583,upstream
23,1405014:terminal_upstream:733,J320u,733,upstream
24,1406400:terminal_upstream:1163,J16u,1163,upstream
25,1407100:terminal_upstream:505,J478u,505,upstream
26,1407809:terminal_upstream:407,J517u,407,upstream
27,1407842:terminal_upstream:100,J673u,100,upstream
28,1409921:terminal_upstream:1102,J44u,1102,upstream
29,1411111:terminal_upstream:938,J124u,938,upstream
30,1411112:terminal_upstream:507,J421u,507,upstream
31,1817926,J121,975,upstream
32,1915943:terminal_upstream:291,J602u,291,upstream
33,1915962:terminal_upstream:216,J625u,216,upstream
34,1917135:terminal_upstream:394,J485u,394,upstream
35,1917148:terminal_upstream:395,J504u,395,upstream
36,1917151:terminal_upstream:405,J480u,405,upstream
37,1935603:terminal_upstream:39,J762u,39,upstream
38,2538385:upstream:2357,B75u,1078,upstream
39,2538475:terminal_upstream:930,J54u,930,upstream
40,2538491:terminal_upstream:1164,J102u,1164,upstream
41,2538516:terminal_upstream:974,J103u,974,upstream
42,2538560:terminal_upstream:1057,J96u,1057,upstream
43,2642957:terminal_upstream:1242,J194u,1242,upstream
44,2644157:terminal_upstream:1279,J286u,1279,upstream
45,2646623:terminal_upstream:825,J257u,825,upstream
46,2646684:terminal_upstream:336,J533u,336,upstream
47,2646757:terminal_upstream:1276,J395u,1276,upstream
48,2646760:terminal_upstream:1300,J448u,1300,upstream
49,2647262:terminal_upstream:197,J672u,197,upstream
50,2647265:terminal_upstream:192,J702u,192,upstream
51,2648140:terminal_upstream:141,J660u,141,upstream
52,2672176:terminal_upstream:37,J768u,37,upstream
53,2672180:terminal_upstream:40,J753u,40,upstream
54,2672634:terminal_upstream:1,J763u,1,upstream
55,2672641:terminal_upstream:42,J739u,42,upstream
56,2672646:terminal_upstream:8,J761u,8,upstream
57,2735690:terminal_upstream:290,J618u,290,upstream
58,2735691:terminal_upstream:247,J584u,247,upstream
59,2735697:terminal_upstream:172,J658u,172,upstream
60,2736149:terminal_upstream:430,J544u,430,upstream
61,2736151:terminal_upstream:293,J537u,293,upstream
62,2736155:terminal_upstream:401,J498u,401,upstream
63,2736160:terminal_upstream:530,J438u,530,upstream
64,2736166:terminal_upstream:1273,J456u,1273,upstream
65,2736812:terminal_upstream:436,J466u,436,upstream
66,2736821:terminal_upstream:650,J325u,650,upstream
67,2736892:terminal_upstream:1252,J331u,1252,upstream
68,2737699:terminal_upstream:284,J588u,284,upstream
69,2745083:terminal_upstream:49,J706u,49,upstream
70,2791526:upstream:227,B434u,98,upstream
71,2813615:terminal_upstream:1296,J148u,1296,upstream
72,2813640:terminal_upstream:1122,J38u,1122,upstream
73,2814044:upstream:419,B428u,191,upstream
74,2814317:terminal_upstream:788,J224u,788,upstream
75,2814321:upstream:1644,B179u,734,upstream
76,2814323:terminal_upstream:723,J305u,723,upstream
77,2815170:upstream:1821,B140u,820,upstream
78,3074978:upstream:2055,B16u,912,upstream
79,3076151:upstream:2599,B18u,1216,upstream
80,3077504:upstream:1380,B229u,630,upstream
81,3078128:upstream:2048,B31u,909,upstream
82,3078487:upstream:1136,B253u,527,upstream
83,3078493:upstream:2451,B74u,1127,upstream
84,3078541:upstream:2261,B06u,1026,upstream
85,3139727:terminal_upstream:308,J617u,308,upstream
86,3204044:terminal_upstream:724,J328u,724,upstream
87,3342438,J98,1099,upstream
88,3363839:terminal_upstream:435,J499u,435,upstream
89,3377247:terminal_upstream:351,J531u,351,upstream
90,3581575:terminal_upstream:1222,J45u,1222,upstream
91,3581621:terminal_upstream:1256,J48u,1256,upstream
92,3596885:terminal_upstream:1244,J410u,1244,upstream
93,3605684:terminal_upstream:167,J718u,167,upstream
94,3920991:upstream:467,B423u,212,upstream
95,3921007:terminal_upstream:1253,J408u,1253,upstream
96,3963200:upstream:406,B441u,187,upstream
97,3966854:terminal_upstream:306,J535u,306,upstream
98,4087858:upstream:37,B504u,20,upstream
99,451302:terminal_upstream:1290,J01u,1290,upstream
100,451386:upstream:2247,B05u,1017,upstream
101,451413:terminal_upstream:915,J03u,915,upstream
102,452189:upstream:2050,B63u,911,upstream
103,452200:terminal_upstream:1204,J86u,1204,upstream
104,452399:terminal_upstream:1132,J111u,1132,upstream
105,452488:terminal_upstream:1070,J122u,1070,upstream
106,452909:upstream:2641,B103u,1239,upstream
107,452962:terminal_upstream:981,J201u,981,upstream
108,453282:upstream:1805,B151u,811,upstream
109,453282:upstream:1808,B151u,814,upstream
110,453302:terminal_upstream:842,J252u,842,upstream
111,453393:terminal_upstream:802,J271u,802,upstream
112,453463:terminal_upstream:678,J287u,678,upstream
113,454130:upstream:1335,B237u,616,upstream
114,454138:terminal_upstream:550,J381u,550,upstream
115,454377:terminal_upstream:1282,J412u,1282,upstream
116,454629:upstream:1337,B285u,618,upstream
117,454741:terminal_upstream:419,J454u,419,upstream
118,454751:terminal_upstream:386,J455u,386,upstream
119,454803:upstream:1065,B301u,491,upstream
120,455215:upstream:967,B324u,440,upstream
121,455497:terminal_upstream:360,J511u,360,upstream
122,455584:terminal_upstream:288,J524u,288,upstream
123,455938:terminal_upstream:381,J551u,381,upstream
124,457982:terminal_upstream:189,J687u,189,upstream
125,458313:terminal_upstream:160,J722u,160,upstream
126,627936:upstream:126,B474u,46,upstream
127,CN06:terminal_upstream:957,J172u,957,upstream
128,CN08:terminal_upstream:1009,J59u,1009,upstream
129,CN100:terminal_upstream:706,J393u,706,upstream
130,CN106:terminal_upstream:281,J575u,281,upstream
131,CN11:terminal_upstream:292,J564u,292,upstream
132,CN123:terminal_upstream:1194,J62u,1194,upstream
133,CN12:terminal_upstream:963,J127u,963,upstream
134,CN152:terminal_upstream:869,J197u,869,upstream
135,CN185:terminal_upstream:14,J767u,14,upstream
136,CN21:terminal_upstream:4,J769u,4,upstream
137,CN38:terminal_upstream:1095,J129u,1095,upstream
138,CN57:terminal_upstream:758,J228u,758,upstream
139,CN59:terminal_upstream:757,J316u,757,upstream
140,CN68:terminal_upstream:603,J406u,603,upstream
141,CN82:terminal_upstream:184,J652u,184,upstream
142,CN92:terminal_upstream:28,J698u,28,upstream
143,CN99:terminal_upstream:680,J321u,680,upstream
144,RB04:terminal_upstream,RB04u,1348,upstream
