road_id,original_sim_road_id,road_label,upstream_node_id,upstream_node_label,upstream_kind,downstream_node_id,downstream_node_label,downstream_kind,lanes,speed_limit,blocks_12m,length_m,rounded_length_m,source_road_ids
1,5,R001: 2672634 -> CN20,2672634:terminal_upstream:1,J763u,boundary,CN20,J765,junction,1,40,3,34.157,36,r001
2,6,R002: CN20 -> 2672634,CN20,J765,junction,2672634:terminal_downstream:2,J763d,boundary,1,40,3,34.157,36,r001
3,10,R003: CN20 -> CN21,CN20,J765,junction,CN21:terminal_downstream:3,J769d,boundary,1,40,3,33.492,36,r005
4,11,R004: CN21 -> CN20,CN21:terminal_upstream:4,J769u,boundary,CN20,J765,junction,1,40,3,33.492,36,r005
5,15,R005: CN90 -> CN20,CN90,J759,junction,CN20,J765,junction,1,40,6,70.380,72,r005
6,16,R006: CN20 -> CN90,CN20,J765,junction,CN90,J759,junction,1,40,6,70.380,72,r005
7,19,R007: CN90 -> 2672646,CN90,J759,junction,2672646:terminal_downstream:7,J761d,boundary,1,40,4,48.512,48,r008
8,20,R008: 2672646 -> CN90,2672646:terminal_upstream:8,J761u,boundary,CN90,J759,junction,1,40,4,48.512,48,r008
9,21,R009: CN90 -> 628048,CN90,J759,junction,628048,J757,junction,1,40,1,16.751,12,r009
10,22,R010: 1425306 -> 628048,1425306,J755,junction,628048,J757,junction,1,40,3,35.412,36,r010
11,23,R011: 628048 -> CN90,628048,J757,junction,CN90,J759,junction,1,40,1,16.751,12,r009
12,24,R012: 628048 -> 1425306,628048,J757,junction,1425306,J755,junction,1,40,3,35.412,36,r010
13,27,R013: 628048 -> CN185,628048,J757,junction,CN185:terminal_downstream:13,J767d,boundary,1,40,7,87.152,84,r010
14,29,R014: CN185 -> 628048,CN185:terminal_upstream:14,J767u,boundary,628048,J757,junction,1,40,7,87.152,84,r010
15,31,R015: CN183 -> 628188:downstream:31,CN183,J760,junction,628188:downstream:31,B505d,boundary,1,50,13,154.000,156,r016
16,32,R016: CN183 -> 4087854:downstream:32,CN183,J760,junction,4087854:downstream:32,B509d,boundary,3,80,17,209.643,204,r012
18,35,R018: CN184 -> 1246082,CN184,J766,junction,1246082,J756,junction,1,50,7,80.444,84,r019
19,36,R019: 1246082 -> RB33,1246082,J756,junction,RB33,RB33,roundabout,1,40,4,49.593,48,r020
20,37,R020: 4087858:upstream:37 -> CN184,4087858:upstream:37,B504u,boundary,CN184,J766,junction,4,80,7,85.005,84,r015
21,38,R021: RB33 -> CN88,RB33,RB33,roundabout,CN88,J764,junction,1,40,5,59.375,60,r025
22,39,R022: RB33 -> 627991,RB33,RB33,roundabout,627991,J751,junction,1,40,2,28.990,24,r026
23,40,R023: 627991 -> RB33,627991,J751,junction,RB33,RB33,roundabout,1,40,2,21.935,24,r027
24,44,R024: CN88 -> RB33,CN88,J764,junction,RB33,RB33,roundabout,1,40,5,59.375,60,r025
