parameter_index	parameter_name	true_logit
1	z_j54_r1_k1	0.4822450116
2	z_j54_r1_k2	2.6866378
3	z_j54_r2_k1	0.6597421614
4	z_j54_r2_k2	0.005949920223
5	z_j54_r3_k1	0.6941653673
6	z_j54_r3_k2	-0.05375782762
7	z_j196_r1_k1	0.5780494952
8	z_j196_r1_k2	-0.2521257396
9	z_j196_r2_k1	0.3365758305
10	z_j196_r2_k2	2.226453651
11	z_j196_r3_k1	0.02211117891
12	z_j196_r3_k2	-0.872025952
13	z_j219_r1_k1	-0.2971485786
14	z_j219_r1_k2	-1.15912457
15	z_j219_r2_k1	-0.5519676781
16	z_j219_r2_k2	1.427418986
17	z_j219_r3_k1	-0.6870851772
18	z_j219_r3_k2	-1.389815059
19	z_j258_r1_k1	0.01994814816
20	z_j258_r1_k2	0.1029157613
21	z_j258_r2_k1	0.1798265399
22	z_j258_r2_k2	0.3373518263
23	z_j258_r3_k1	-2.321563319
24	z_j258_r3_k2	-2.123641832
25	z_j261_r1_k1	0.0815844434
26	z_j261_r1_k2	2.356421741
27	z_j261_r2_k1	0.3875979825
28	z_j261_r2_k2	-0.1550533654
29	z_j261_r3_k1	0.6095556962
30	z_j261_r3_k2	-0.01063261671
31	z_j308_r1_k1	0.6993230747
32	z_j308_r1_k2	-0.01422431297
33	z_j308_r2_k1	0.637432857
34	z_j308_r2_k2	-0.1650495467
35	z_j308_r3_k1	0.4373067676
36	z_j308_r3_k2	2.342188881
37	z_j339_r1_k1	0.1423448355
38	z_j339_r1_k2	-0.05958324281
39	z_j339_r1_k3	-0.2565353905
40	z_j339_r2_k1	-0.1834864851
41	z_j339_r2_k2	-0.3689923989
42	z_j339_r2_k3	-0.5236829277
43	z_j339_r3_k1	-0.4695262982
44	z_j339_r3_k2	-0.5983806001
45	z_j339_r3_k3	-0.6772627923
46	z_j386_r1_k1	0.7325513302
47	z_j457_r1_k1	-0.6961868117
48	z_j475_r1_k1	-0.5876531371
49	z_j475_r1_k2	-0.4543539674
50	z_j475_r1_k3	-0.283110676
51	z_j477_r1_k1	-0.3516789913
52	z_j477_r1_k2	-0.163922996
53	z_j477_r2_k1	-0.03943853535
54	z_j477_r2_k2	0.1620568776
55	z_j481_r1_k1	0.2813546963
56	z_j481_r1_k2	0.4528925418
57	z_j481_r1_k3	0.5866083126
58	z_j481_r1_k4	0.6713351039
59	z_j481_r1_k5	0.6999971908
60	z_j485_r1_k1	0.5411323853
61	z_j485_r1_k2	0.6455123789
62	z_j485_r2_k1	0.6835582526
63	z_j485_r2_k2	0.6981441915
64	z_j486_r1_k1	0.677745337
65	z_j486_r2_k1	0.5249542473
66	z_j487_r1_k1	0.2583197822
67	z_j487_r1_k2	0.06149491273
68	z_j487_r1_k3	-0.1404655353
69	z_j487_r1_k4	-0.3306953905
70	z_j490_r1_k1	-0.06433479516
71	z_j490_r1_k2	-0.2609677979
72	z_j490_r2_k1	-0.3730375086
73	z_j490_r2_k2	-0.5268361383
74	z_j491_r1_k1	-0.6008420308
75	z_j491_r2_k1	-0.6983458932
76	z_j495_r1_k1	-2.590314223
77	z_j495_r1_k2	-2.48522925
78	z_j495_r1_k3	-2.335104525
79	z_j495_r2_k1	-2.396624731
80	z_j495_r2_k2	-2.22465156
81	z_j495_r2_k3	-2.029400066
82	z_j495_r3_k1	-1.075572314
83	z_j495_r3_k2	-1.567152816
84	z_j495_r3_k3	-1.369117462
85	z_j495_r3_k4	-1.191151809
86	z_j495_r4_k1	-1.779216382
87	z_j495_r4_k2	-1.591768637
88	z_j495_r4_k3	-1.433896047
89	z_j496_r1_k1	-0.3907785251
90	z_j496_r2_k1	1.494640418
91	z_j496_r3_k1	1.545078716
92	z_j497_r1_k1	0.5968960094
93	z_j497_r1_k2	0.4674075586
94	z_j497_r1_k3	0.2988848514
95	z_j497_r2_k1	0.3665662507
96	z_j497_r2_k2	0.1807332475
97	z_j497_r2_k3	-0.02019319565
